epoch,train_loss,val_loss
1,200.659666,172.887546
2,166.290840,161.571267
3,159.615860,157.312253
4,155.849351,154.071216
5,153.231848,152.272743
6,151.170900,150.716078
7,149.593677,149.321756
8,148.208748,148.527863
9,147.025325,147.585849
10,146.124400,146.802859
11,145.460043,146.176397
12,144.693382,145.680797
13,144.085722,145.169634
14,143.692415,144.747653
15,143.179398,144.629643
16,142.792571,144.414239
17,142.212254,144.060592
18,141.872570,143.339159
19,141.472655,143.469318
20,141.180180,143.028498
21,140.971409,143.017275
22,140.948401,142.533448
23,140.372657,142.722481
24,139.989744,142.485337
25,139.668949,142.055588
26,139.490549,141.937881
27,139.372496,142.033739
28,139.098246,141.554740
29,138.819086,141.276984
30,138.774696,141.359321
